t,r1,r2,running_mean_r1,running_mean_r2,exploit_roll,regret_p1,regret_p2
1,1.0,-1.0,1.0,-1.0,2.0,-0.5,1.0
2,-1.0,1.0,0.0,0.0,1.5,0.8333333333333333,0.0
3,2.0,-2.0,0.6666666666666666,-0.6666666666666666,1.0,-0.6666666666666667,2.25
4,2.0,-2.0,1.0,-1.0,1.75,-2.666666666666667,4.75
5,-1.0,1.0,0.6,-0.6,1.2000000000000002,-0.8666666666666671,3.55
6,-1.0,1.0,0.3333333333333333,-0.3333333333333333,1.1666666666666665,0.6333333333333329,2.55
7,1.0,-1.0,0.42857142857142855,-0.42857142857142855,1.0,0.34761904761904705,3.407142857142857
8,-1.0,1.0,0.25,-0.25,0.625,1.847619047619047,2.282142857142857
9,-1.0,1.0,0.1111111111111111,-0.1111111111111111,0.6666666666666666,3.1809523809523803,1.1710317460317459
10,2.0,-2.0,0.3,-0.3,0.8,1.3809523809523805,3.171031746031746
11,-1.0,1.0,0.18181818181818182,-0.18181818181818182,0.7272727272727273,2.7445887445887442,2.2619408369408367
12,1.0,-1.0,0.25,-0.25,0.6666666666666665,1.9945887445887442,3.4286075036075037
13,-2.0,2.0,0.07692307692307693,-0.07692307692307693,0.6153846153846154,4.661255411255411,2.4286075036075037
14,1.0,-1.0,0.14285714285714285,-0.14285714285714285,0.5,3.6612554112554108,4.678607503607504
15,-1.0,1.0,0.06666666666666667,-0.06666666666666667,0.4,4.892024642024642,3.7555305805305803
16,-1.0,1.0,0.0,0.0,0.4375,6.177738927738927,2.7555305805305803
17,-2.0,2.0,-0.11764705882352941,0.11764705882352941,0.3529411764705882,7.977738927738927,1.5555305805305801
18,-2.0,2.0,-0.2222222222222222,0.2222222222222222,0.38888888888888884,9.977738927738926,0.05553058053058013
19,2.0,-2.0,-0.10526315789473684,0.10526315789473684,0.5263157894736842,7.6920246420246405,2.7698162948162945
20,1.0,-1.0,-0.05,0.05,0.35,6.6920246420246405,4.6448162948162945
21,2.0,-2.0,0.047619047619047616,-0.047619047619047616,0.5238095238095237,4.469802419802418,7.3114829614829615
22,-1.0,1.0,0.0,0.0,0.5909090909090909,5.669802419802418,6.378149628149628
